時間,ひずみ電圧[1mm],先端の変位[1mm],ひずみ電圧[0.8mm],先端の変位[0.8mm],トルク[ノイズカット]
0.728,2.226563,0.073031266,6.1203,0.2509323,-0.6545683
0.73,2.15332,0.070628896,6.06781,0.24878021,-0.6518481
0.732,2.087097,0.068456782,6.003723,0.246152643,-0.6475736
0.734,2.027893,0.06651489,5.948181,0.243875421,-0.6363045
0.736,1.955872,0.064152602,5.888062,0.241410542,-0.6207609
0.738,1.897583,0.062240722,5.810242,0.238219922,-0.5908394
0.74,1.838379,0.060298831,5.753174,0.235880134,-0.6040515
0.742,1.772461,0.058136721,5.681763,0.232952283,-0.5768502
0.744,1.722107,0.05648511,5.603638,0.229749158,-0.5628609
0.746,1.661377,0.054493166,5.528259,0.226658619,-0.528665
0.748,1.601257,0.05252123,5.450134,0.223455494,-0.5581978
0.75,1.533508,0.050299062,5.362244,0.219852004,-0.509624
0.752,1.466675,0.04810694,5.290833,0.216924153,-0.4968005
0.754,1.390076,0.045594493,5.141907,0.210818187,-0.4692106
0.756,1.315918,0.04316211,5.109253,0.209479373,-0.4657133
0.758,1.242371,0.040749769,5.022888,0.205938408,-0.462216
0.76,1.152954,0.037816891,4.935303,0.202347423,-0.4169452
0.762,1.074524,0.035244387,4.852905,0.198969105,-0.3716744
0.764,0.9805298,0.032161377,4.768066,0.195490706,-0.4120878
